# Scan Name:	20210614_SnO2_H2_TPR
# Run Number:	15
# Session Id:	378
# Trajectory Name:	Sn_EXAFS_92.tra
# First Scan Create Date:	6/14/2021 4:33:52 PM
# This Scan Create Date:	6/14/2021 4:58:34 PM
# Encoder Resolution:	87466.6666666667
# Encoder Offset:	21.1068268887761
# Lattice Spacing:	1.9202
# Analog In 1 Offset:	-2151695974.4
# Analog In 2 Offset:	-2151147110.4
# Analog In 3 Offset:	-2152253030.4
# Analog In 4 Offset:	-2151748403.2
# Analog In 5 Offset:	-2763794022.4
# Analog In 6 Offset:	-2764287180.8
# Analog In 7 Offset:	-2763074764.8
# Analog In 8 Offset:	-2763220582.4
# Encoder	Energy	ADC_01	ADC_02	ADC_03	ADC_04	ADC_05	ADC_06	ADC_07	ADC_08
-1287695	29031.5960366893	185142891.6	475971921.6	545430295.6	-29849.1999998093	-70235.4000000954	57205.1999998093	-48891.8000001907	14274.5999999046
-1287700	29031.854892909	184472489.6	474499315.6	544426701.6	-74576.1999998093	-59507.4000000954	66709.1999998093	-38017.8000001907	21568.5999999046
-1287706	29032.1655265042	184706638.6	475339768.6	545675689.6	169986.800000191	-76902.4000000954	48732.1999998093	-56216.8000001907	2402.59999990463
-1287712	29032.4761667884	184769230.6	474407834.6	544153889.6	913.800000190735	-67522.4000000954	57734.1999998093	-46897.8000001907	11389.5999999046
-1287717	29032.7350388018	184784972.6	475940829.6	545535455.6	200168.800000191	-54248.4000000954	70324.1999998093	-32203.8000001907	26055.5999999046
-1287723	29033.04569135	184752235.6	475272605.6	544518004.6	110858.800000191	-81148.4000000954	44112.1999998093	-59318.8000001907	-844.400000095367
-1287728	29033.3045735836	184198671.6	473662251.6	543600517.6	-102999.199999809	-70061.4000000954	54306.1999998093	-48700.8000001907	9098.59999990463
-1287734	29033.6152383964	185093453.6	475857326.6	545823024.6	-78049.1999998093	-52506.4000000954	71799.1999998093	-31000.8000001907	25777.5999999046
-1287739	29033.8741308508	184137868.6	473509463.6	543255403.6	19188.8000001907	-76387.4000000954	46558.1999998093	-54771.8000001907	2438.59999990463
-1287745	29034.1848079289	185032968.6	475677195.6	545422951.6	-86377.1999998093	-67800.4000000954	56689.1999998093	-45833.8000001907	11588.5999999046
