0000000077,scans,0000000146,DataLength
"header",0000000029,"lines"
"Date",6/14/2021,"Time",4:20:01 PM
"ID","HAL RC RGA 201 #16792","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",2.00,2.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 2","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 3","RGA","Faraday","mass",18.00,18.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 4","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 5","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 6","RGA","Faraday","mass",40.00,40.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 7","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 8","RGA","Temperature","mass",1.00,1.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 9","RGA","vacuum","mass",1.00,1.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",0,"( 1 = on, 0 = off )"
"F2",1,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"curtail-clipping",0,"( 1 = on, 0 = off )"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",200.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",840,"V"
01:00:46,   3646898,  5.51151e-07,  1.68464e-09,  7.31637e-09,  8.33033e-09,  1.68760e-09,  3.92844e-06,  9.20198e-11,   348.0359,  2.01848e-06,
01:02:26,   3746759,  5.49861e-07,  1.58073e-09,  7.66458e-09,  8.35827e-09,  1.63462e-09,  3.91971e-06,  8.33123e-11,   364.6986,  2.01848e-06,
01:04:06,   3846485,  5.51366e-07,  1.57930e-09,  8.13123e-09,  8.33175e-09,  1.66129e-09,  3.92643e-06,  8.59461e-11,   381.3613,  2.01848e-06,
01:05:46,   3946209,  5.51689e-07,  1.50234e-09,  8.69050e-09,  8.39490e-09,  1.65723e-09,  3.93248e-06,  7.60883e-11,   397.3791,  2.01848e-06,
01:07:26,   4046070,  5.53731e-07,  1.44387e-09,  9.36878e-09,  8.39127e-09,  1.63064e-09,  3.92710e-06,  8.70533e-11,   413.6655,  2.01848e-06,
01:09:02,   4142683,  5.59966e-07,  1.43986e-09,  1.01401e-08,  8.39365e-09,  1.61461e-09,  3.94390e-06,  1.03221e-10,   430.1133,  2.01848e-06,
01:10:42,   4242546,  5.62546e-07,  1.43783e-09,  1.10045e-08,  8.37223e-09,  1.60347e-09,  3.94053e-06,  9.22993e-11,   446.5072,  2.01848e-06,
01:12:22,   4342408,  5.62869e-07,  1.41520e-09,  1.17941e-08,  8.44412e-09,  1.61610e-09,  3.93046e-06,  1.01092e-10,   449.4635,  2.01848e-06,
01:14:00,   4440171,  5.58461e-07,  1.35816e-09,  1.29201e-08,  8.46883e-09,  1.59197e-09,  3.93718e-06,  1.12778e-10,   449.4098,  2.01848e-06,
01:15:37,   4537934,  5.54806e-07,  1.26681e-09,  1.28495e-08,  8.49112e-09,  1.58302e-09,  3.94591e-06,  8.66771e-11,   449.4098,  2.01848e-06,
01:17:15,   4635696,  5.55236e-07,  1.23242e-09,  1.20017e-08,  8.42992e-09,  1.57216e-09,  3.94456e-06,  1.05263e-10,   449.4098,  2.01848e-06,
01:18:53,   4733457,  5.64696e-07,  1.19931e-09,  1.08816e-08,  8.45152e-09,  1.54199e-09,  3.94189e-06,  9.84053e-11,   449.7860,  2.01848e-06,
01:20:31,   4831214,  5.51151e-07,  1.14911e-09,  9.72464e-09,  8.46315e-09,  1.50553e-09,  3.93113e-06,  1.01318e-10,   449.3560,  2.01848e-06,
01:22:08,   4928976,  5.62869e-07,  1.08708e-09,  8.79552e-09,  8.42799e-09,  1.52913e-09,  3.93516e-06,  9.57716e-11,   449.4098,  2.01848e-06,
01:23:43,   5023483,  5.67814e-07,  1.01199e-09,  8.04811e-09,  8.37133e-09,  1.54399e-09,  3.93180e-06,  9.35786e-11,   449.6248,  2.01848e-06,
01:25:23,   5123345,  5.61686e-07,  1.01001e-09,  7.44662e-09,  8.41318e-09,  1.52069e-09,  3.93785e-06,  7.56261e-11,   449.5173,  2.01848e-06,
01:27:02,   5222168,  5.59429e-07,  9.49481e-10,  6.99743e-09,  8.41544e-09,  1.53845e-09,  3.92575e-06,  8.53333e-11,   449.4098,  2.01848e-06,
01:28:42,   5322028,  5.58354e-07,  9.09534e-10,  6.68105e-09,  8.35364e-09,  1.52606e-09,  3.93381e-06,  7.63141e-11,   449.6785,  2.01848e-06,
01:30:21,   5421892,  5.58676e-07,  8.76026e-10,  6.40392e-09,  8.34500e-09,  1.54898e-09,  3.92173e-06,  9.32776e-11,   449.6248,  2.01848e-06,
01:32:01,   5521754,  5.53624e-07,  8.47636e-10,  6.20764e-09,  8.34225e-09,  1.53932e-09,  3.91702e-06,  8.54301e-11,   449.6248,  2.01848e-06,
