,Name,Chi2,RedChi2,Variables,Amp1,Amp1-stdev,Amp2,Amp2-stdev,Amp3,Amp3-stdev,Sum Amp
23,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0024,0.005223067206175807,1.3496297690376762e-05,2,0.7145012021036763,0.002109764755126844,0.28664274907456655,0.0021299241106287766,0.0,0.00024514177950401135,1.0011439511782427
24,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0025,0.007005136112829894,1.8101126906537194e-05,2,0.6558533043995433,0.0024426057527698834,0.34574226639887284,0.002464006200017176,0.0,0.0002839008032212577,1.001595570798416
25,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0026,0.00621901922901385,1.6111448779828626e-05,2,0.612524870893391,0.0023082423218739267,0.38855509707922553,0.0023290821577952076,0.0,0.00026801521683308683,1.0010799679726166
26,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0027,0.007899073672565284,2.041104308156404e-05,2,0.522632460235691,0.002592692445369225,0.4793385142726723,0.002616258459916884,0.0,0.00030123628571319705,1.0019709745083634
27,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0028,0.004178625656927973,1.079748231764334e-05,2,0.4343808307745278,0.001886245414350125,0.5674739740147834,0.0019045144892213268,0.0,0.00021903817360154605,1.0018548047893112
28,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0029,0.002634829835108652,6.80834582715414e-06,2,0.3284037084733741,0.0014936283962034714,0.6717663225348428,0.00150826942535663,0.0,0.00017394200239161182,1.0001700310082169
29,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0030,0.0023009586597652286,5.945629611796457e-06,2,0.17935571287106794,0.0014002757675459195,0.8212135512057064,0.001413813486705677,0.0,0.00016251348185330295,1.0005692640767743
30,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0031,7.990365485590179e-29,2.064693923925111e-31,2,7.771561172376096e-16,6.866815474236016e-17,0.9999999999999998,2.3989492715821378e-16,0.0,2.398949271582138e-16,1.0000000000000004
31,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0032,0.011717255476668121,3.0277145934542948e-05,2,4.5192793951542853e-11,0.0009293981637336318,0.8133331344656469,0.01498649901596559,0.18666686548916034,0.09131751412244132,1.0
32,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0033,0.026775924756192275,6.918843606251234e-05,2,8.163525411220007e-12,0.011661766471206814,0.6185714991905573,0.022731932459432013,0.3814285008012792,5.299427794995459,1.0
33,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0034,0.022025786145561863,5.676749006588109e-05,2,0.00020584244621491,0.009275704600375329,0.4623044023140647,0.020389864112847773,0.5374897552397204,0.011490973348977356,1.0
34,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0035,0.3065060763165267,0.0007920053651589837,2,0.0,3.224444083857117e-11,0.6150967391636107,0.02548303734715761,0.38490326083638926,0.025483037374385585,1.0
35,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0036,0.1580189330467458,0.00040726529135759227,2,0.0,1.3262713155952513e-11,0.42467815651252894,0.013928410767401162,0.5753218434874711,0.01392841068703995,1.0
36,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0037,0.1078332202589273,0.00027863881203857185,2,0.0,1.023973850653783e-11,0.3058435894674104,0.011128295544633614,0.6941564105325896,0.011128295484681604,1.0
37,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0038,0.054671223050607634,0.00014126931020828846,2,0.0,8.962900451604184e-12,0.21223608676501426,0.008331703700678145,0.7877639132349857,0.008331703588679766,1.0
38,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0039,0.030225243599435937,7.810140464970527e-05,2,0.0,6.8040585385810765e-12,0.1469302313084736,0.006089928457232688,0.8530697686915264,0.006089928508783925,1.0
39,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0040,0.008100275457768135,2.093094433531818e-05,2,0.0,3.739823878429786e-12,0.08237796945560116,0.003413934491123125,0.9176220305443988,0.003413934520338555,1.0
40,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0041,0.006009378353261994,1.5528109439953472e-05,2,0.0,2.9968744534835113e-12,0.055230547183074075,0.0026865852866003303,0.9447694528169259,0.0026865854447493233,1.0
41,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0042,0.003565702098533075,9.213700513005362e-06,2,0.0,2.256340948289985e-12,0.03586809038446037,0.002048759916039371,0.9641319096155396,0.002048760085452158,1.0
42,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0043,0.005087669577497275,1.3146433016788825e-05,2,0.0,2.843250295043989e-12,0.03315668715414788,0.002664666743162057,0.9668433128458521,0.002664666610938242,1.0
43,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0044,0.002887597220303772,7.461491525332744e-06,2,8.455511291138862e-10,0.0038097688442139746,0.01630496870546655,0.007432439662230296,0.9836950304489822,0.02635001457558942,0.9999999999999999
44,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0045,0.0026263814429235955,6.786515356391719e-06,2,1.2373841784540929e-08,0.009008686504125,0.011475579038792205,0.007078344936209452,0.9885244085873661,0.012433803735345228,1.0
45,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0046,0.002856631524013261,7.362452381477476e-06,2,0.0037092191796980756,0.0037832323991481734,0.007935092302715496,0.007381608611107171,0.9883556885175864,0.0037678368225740454,1.0
46,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0047,0.003998337950783027,1.0331622611842448e-05,2,0.009749876187993445,0.0009840169934950797,0.0,1.9886147331473686e-12,0.9902501238120065,0.0009840171957679758,1.0
47,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0048,0.0036425394096758013,9.412246536629977e-06,2,0.01302265554101456,0.0009750758318794022,0.0,2.1887977753051283e-12,0.9869773444589854,0.0009750756975680385,1.0
48,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0049,0.0021941465175270005,5.6696292442558155e-06,2,0.005487008222751111,0.0007415608396546691,0.0,1.7725613989308772e-12,0.9945129917772488,0.0007415605599584901,1.0
49,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050,2.071148823775956e-30,5.351805746191101e-33,2,0.0,7.614176271163079e-26,0.0,1.192174509433579e-25,1.0,9.173981807656233e-26,1.0
