,Name,Chi2,RedChi2,Variables,Amp1,Amp1-stdev,Amp2,Amp2-stdev,Sum Amp
35,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0036,0.028819823708836526,7.408695040832011e-05,1,0.09779001472514165,0.002517881318156713,0.9022099852748584,0.0025178812994536186,1.0
36,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0037,0.016785989699781262,4.3262860050982635e-05,1,0.058550710352477664,0.0019247914034533705,0.9414492896475224,0.0019247914484480438,1.0
37,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0038,0.008853974639480025,2.2819522266701094e-05,1,0.03930560802244887,0.0014004408002393548,0.9606943919775511,0.0014004406923476926,1.0
38,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0039,0.005553544021928732,1.4313257788476113e-05,1,0.024725754446160986,0.0011070784627420257,0.975274245553839,0.0011070786012339344,1.0
39,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0040,0.004442292836720766,1.144920834206383e-05,1,0.021536219421160296,0.0009907519132382255,0.9784637805788396,0.0009907519336604706,1.0
40,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0041,0.004414158065669267,1.1376696045539349e-05,1,0.01402725909550645,0.0009869021145001823,0.9859727409044936,0.0009869019331994685,1.0
41,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0042,0.0036006623085252923,9.280057496199207e-06,1,0.013673767551940497,0.000892837000359449,0.9863262324480595,0.0008928369935380897,1.0
42,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0043,0.004198739777395596,1.0821494271638133e-05,1,0.007344062678824703,0.0009628651296124807,0.9926559373211753,0.0009628647320019913,1.0
43,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0044,0.002941907260847521,7.5822352083699e-06,1,0.008071456061322646,0.0008075428492000825,0.9919285439386774,0.0008075424808092691,1.0
44,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0045,0.002674993133428362,6.894312199557634e-06,1,0.005515398100530422,0.0007692146611149019,0.9944846018994695,0.0007692149706977731,1.0
45,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0046,0.0028651394593961843,7.365397067856515e-06,1,0.007685230415095723,0.0007954117800789285,0.9923147695849043,0.0007954116524802426,1.0
46,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0047,0.003839654839334839,9.896017627151647e-06,1,0.006061123196531681,0.0009208338211147803,0.9939388768034683,0.0009208341781622606,1.0
47,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0048,0.003032618069243168,7.81602595165765e-06,1,0.005784773265820109,0.0008191620026410011,0.99421522673418,0.0008191623985663917,1.0
48,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0049,0.002189300021217217,5.6425258278794256e-06,1,0.00484173483175393,0.0006961701730499863,0.995158265168246,0.0006961700137538651,1.0
49,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050,3.384528473870602e-30,8.723011530594335e-33,1,1.6653345369377348e-16,1.608516196504917e-17,0.9999999999999998,3.598189822434858e-10,1.0
